DI_Al_0_2,DI_Ca_0_2,DI_Fe_0_2,DI_K_0_2,DI_Mg_0_2,DI_P_0_2,DI_Al_2_6,DI_Ca_2_6,DI_Fe_2_6,DI_K_2_6,DI_Mg_2_6,DI_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
274.5539856,254.0039978,145.026001,45.4892006,40.6866989,4.16575,261.3869934,259.0859985,138.2740021,37.4590988,36.7627983,4.0806999,220.4909973,104.7979965,136.3220062,209.3789978,116.9710007,48.7201004
288.6000061,218.2160034,155.5839996,41.0721016,40.2564011,3.6973901,279.1879883,241.4550018,151.3350067,36.3124008,38.5937996,3.9981,227.1459961,98.7182007,41.0158997,231.3359985,115.3610001,41.5928001
238.7839966,238.7960052,125.7819977,43.9505997,34.3801994,3.9203801,266.6809998,250.6230011,141.3910065,33.6151009,35.712101,3.5422201,210.0570068,100.3089981,136.6340027,196.0010071,108.677002,40.0887985
241.7769928,237.7100067,126.689003,43.7388,36.0457001,3.89891,268.4400024,250.0189972,142.0800018,34.3011017,35.9673996,3.65453,209.3300018,100.0780029,132.8170013,197.6690063,109.5510025,39.8376999
240.8760071,237.9730072,126.4189987,43.8445015,35.5831985,3.9229,267.9249878,249.9869995,141.8760071,34.0914993,35.8897018,3.62116,209.6009979,100.064003,133.9389954,197.3379974,109.2490005,39.9161987
263.3299866,210.2830048,140.6950073,37.2902985,36.7193985,3.8171301,248.0650024,225.7369995,133.576004,33.6488991,34.2714996,4.11203,233.0059967,96.7494965,43.2271004,223.9290009,113.737999,41.6757011
271.6199951,209.8569946,141.3070068,37.0143013,37.7569008,3.60781,279.7600098,225.6130066,146.7960052,31.2231007,36.5103989,3.25454,246.2120056,93.0651016,41.493,213.0590057,106.0479965,38.2360992
295.6700134,217.0189972,149.9929962,43.8933983,42.8717003,4.50137,307.9500122,237.4579926,157.923996,34.2607002,40.0125999,3.65539,237.6860046,96.2661972,36.7594986,209.427002,108.6699982,31.1685009
239.8300018,238.2169952,126.1080017,43.6446991,34.9598007,3.9044499,267.3240051,249.7669983,141.647995,33.8235016,35.8027,3.5808599,209.8359985,99.9328995,135.022995,197.0070038,108.9250031,39.9917984
252.6849976,242.4550018,133.9470062,44.080101,35.7899017,4.18082,284.6499939,249.147995,151.7230072,33.9911995,37.9499016,3.33003,215.371994,97.6064987,136.6549988,198.177002,107.2600021,40.6531982
301.5979919,217.9880066,156.2579956,47.6903,44.6109009,4.6893001,300.5799866,246.4259949,156.9389954,38.0182991,40.1109009,4.2821498,238.0679932,101.6520004,39.0652008,215.7940063,115.4749985,36.0625992
190.0720062,214.9069977,103.1689987,32.4814987,26.7759991,3.2288799,219.4080048,219.9049988,118.9990005,28.5914993,29.2117004,3.3648701,220.1829987,90.2940979,137.3370056,208.4920044,104.5820007,43.993
